kelurahan,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
bambankerep,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,3,2,0,1,2,1,2,2,3,0,0,0,2,0,2,3,0
bandarharjo,5,3,2,2,4,4,6,1,6,1,2,0,2,2,2,5,4,3,1,2,8,7,6,5,2,6,2,4,6,6,3,2,5,5,10,7,2,7,4,4
bangetayu kulon,4,4,9,0,1,2,0,2,5,3,1,0,2,5,6,2,1,3,0,1,4,2,2,4,6,6,6,2,4,2,5,7,9,10,8,3,5,3,7,1
bangetayu wetan,4,2,7,2,1,2,0,0,2,0,0,1,0,2,1,0,0,1,2,1,1,0,2,3,5,1,1,5,3,6,6,4,7,8,4,7,5,5,3,1
bangunharjo,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,2,2,0,1,1,1,0,2,2,0
banjardowo,1,0,3,0,0,0,1,1,1,0,0,1,2,1,2,3,1,1,0,2,4,3,2,4,5,0,2,3,0,1,0,6,1,1,8,8,2,1,2,2
banyumanik,1,3,1,3,2,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,2,7,0,2,2,2,1,1,2,1,0,4,7,4,5,0,0,1,0
barusari,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,3,0,0,1,2,1,0,0,2,2,1,1,1,3,1,3,2,0,2,1
bendan duwur,2,1,1,0,2,0,0,0,1,0,0,2,1,1,2,0,0,0,0,0,1,1,1,1,2,2,0,0,0,1,3,2,2,3,1,1,1,0,5,0
bendan ngisor,1,1,0,1,1,0,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2,1,5,0,3,4,2,2,5,3,0,2
bendungan,0,0,1,2,0,2,0,0,1,2,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,2,0,0,0,1,1,0,1,1
bojongsalaman,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,2,0,0,1,1,1,0,0,3,0,0,3,1,5,4,0,2,2,0,3,3,2,0,1
bongsari,2,0,1,1,1,0,0,0,2,1,0,0,1,1,3,4,1,2,3,2,1,0,4,1,4,3,5,4,4,2,4,3,2,6,9,6,5,4,3,3
bringin,4,2,0,2,0,1,0,0,0,0,0,1,2,0,1,3,2,1,3,0,4,2,2,3,0,2,2,1,2,3,5,5,6,4,6,6,4,7,3,2
brumbungan,1,0,1,1,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,1,0,0,1,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0
bubakan,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,3,0,1,0,4,0
bugangan,6,1,3,2,1,0,1,0,2,1,4,2,9,6,3,2,3,4,0,1,1,3,5,2,4,5,3,8,2,1,4,5,3,3,3,3,6,1,3,4
bulu lor,6,2,1,1,2,4,0,3,1,2,1,3,1,4,3,0,2,2,0,0,2,5,1,1,4,2,2,6,3,3,8,4,3,3,6,4,5,2,2,1
bulusan,3,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,1,0,2,1,1,4,1,0,0,2,4,0,2,2,3,1,3,3,1,1,0
bulustalan,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,2,0,0,1,0,0,2,0,1,0,0,0,1,0,3,1,2
cabean,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
candi,4,1,0,2,2,2,4,2,1,2,2,1,3,1,2,3,0,2,0,0,5,2,2,5,7,1,4,3,3,6,3,6,4,4,4,7,0,7,2,4
cangkiran,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,1,0,0,1,1,1,2,2,0,1,0,0,3,1,2,0,1
cepoko,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,1,1,0,1
dadapsari,2,0,2,0,2,0,1,0,2,1,2,0,0,1,1,0,1,0,0,0,0,1,3,0,10,2,8,5,2,2,1,1,3,5,4,1,4,3,4,1
gabahan,1,2,1,2,0,3,0,0,1,1,1,1,1,2,0,1,1,0,1,2,0,0,3,0,2,1,0,0,0,0,3,0,0,0,2,4,2,0,3,1
gajahmungkur,2,3,3,1,0,2,3,3,4,1,2,2,1,1,2,2,3,4,1,3,1,0,3,3,5,0,1,4,2,3,4,9,5,1,8,4,4,9,3,2
gayamsari,2,0,1,1,1,0,3,2,2,2,0,1,0,1,1,0,3,0,0,2,1,1,1,1,2,0,1,2,1,7,2,4,8,2,4,2,2,2,0,1
gebangsari,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,3,0,0,1,2,1,0,0,2,1,2,2,1,0,2,0
gedawang,0,3,1,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,1,1,0,0,2,1,3,3,0,0,0,3,0,4,1,3,3,2,4,1
gemah,2,1,1,2,0,4,4,5,1,0,0,3,2,3,4,2,1,1,0,2,3,2,7,3,4,2,1,2,3,3,7,2,6,1,1,6,6,0,4,2
genuksari,0,4,2,1,0,0,1,3,3,0,0,1,2,1,1,1,4,0,2,0,3,0,1,4,6,2,7,3,6,3,3,5,3,6,8,5,4,5,4,3
gisikdrono,2,2,2,2,1,3,2,2,4,1,2,1,2,2,4,1,1,1,0,3,0,2,1,2,5,4,5,2,3,6,6,4,1,4,9,4,7,7,5,3
gondoriyo,1,0,2,1,0,1,0,0,1,0,0,0,0,0,2,0,1,1,1,0,1,0,0,1,0,0,1,2,1,0,0,0,1,2,3,3,2,2,3,1
gunungpati,3,0,0,0,2,0,0,0,0,2,0,2,0,2,0,2,0,0,1,0,2,1,1,3,2,0,3,1,3,0,1,1,1,3,2,2,3,1,0,1
jabungan,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1
jagalan,5,0,2,2,1,1,0,1,1,1,1,0,1,1,1,2,3,1,1,3,0,1,2,0,2,3,0,1,3,2,0,2,1,0,1,5,1,4,0,2
jangli,3,1,0,4,0,0,0,0,0,2,0,0,2,2,2,2,1,0,0,0,2,0,0,0,1,1,3,1,1,2,1,0,2,4,2,2,1,1,3,0
jatibarang,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,3,0,0,0,0,0
jatingaleh,5,2,1,0,0,1,1,1,3,1,1,1,3,0,1,3,0,1,0,0,4,1,0,3,6,2,1,2,1,3,3,5,2,4,2,1,3,1,1,0
jatirejo,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
jatisari,1,3,1,0,0,2,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,3,2,2,2,0,0,1,1,6,3,3,1,4,3,3,4,1,2,2
jerakah,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
jomblang,4,3,1,2,2,2,0,1,3,5,3,0,1,1,0,2,5,2,2,2,5,6,2,5,4,3,1,4,4,7,6,7,7,4,4,9,8,2,5,4
kalibanteng kidul,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,2,1,0,1,1,3,2,2,1,3,1,0,2,0,1,1,2,0,0,2,0,1
kalibanteng kulon,1,1,1,0,0,1,0,3,0,1,0,0,1,0,2,3,0,2,0,3,0,1,2,5,1,3,3,4,6,3,2,2,2,1,3,1,3,5,2,2
kalicari,4,4,1,0,0,1,1,2,1,1,2,1,1,0,0,0,1,0,1,2,1,1,3,0,0,0,0,2,2,2,1,2,5,2,4,2,2,3,0,0
kaligawe,0,2,1,1,1,1,0,1,1,0,2,1,2,3,0,2,2,0,0,0,3,2,2,2,2,1,1,0,3,1,6,4,3,4,4,3,3,1,5,1
kalipancur,2,2,1,0,0,1,0,1,1,0,0,4,1,3,1,1,1,2,1,2,3,4,0,4,4,2,4,4,4,7,5,6,1,7,12,3,5,4,6,0
kalisegoro,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,2,0,0
kaliwiru,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,2,1,1,2,0,0
kandri,1,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1
karang ayu,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,3,2,1,0,0,1,2,0,1,3,2,1,0,0,1,1,2,1,1,2,4,4,0,0,2
karang rejo,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,2,0,2,0,1,1,2,5,1,3,4,1,2,3,1,0
karanganyar,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,4,2,1,2,1,0,1,2,1,0,0,0,1,0,0,1,2,2,0
karanganyar gunung,1,0,2,0,2,2,0,1,2,2,1,0,1,1,1,0,1,1,1,1,2,2,0,1,3,2,1,0,0,4,3,0,4,3,3,5,1,0,1,0
karangkidul,0,2,0,0,2,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,2,0,2,2,1,3,0,0,1,1,4,2,2,0,1,0,0
karangmalang,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3,1,0,1,1,0,1,2,0,2,1
karangroto,3,4,3,0,1,1,0,2,2,1,2,0,1,3,10,3,2,2,0,0,1,2,2,4,5,4,1,8,4,5,6,7,4,5,9,7,3,4,6,7
karangtempel,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,1,1,0,0,3,2,2,2,0,3,2,0,1,0,0,0
karangturi,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,0,2,0,1,3,0,2,2,0,1,4,1
kauman,1,1,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,2,0,0,1,0,1,0,0,0,1,0,3,1,1,1,0,1,0,0
kebonagung,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,2,2,2,2,1,2,1,1,0,0,0,1,2,2,3,3,3,1,0,2,0
kedungmundu,4,2,1,0,3,2,1,0,0,0,0,0,2,1,0,1,4,1,0,2,1,2,1,4,7,1,2,1,3,3,5,2,4,2,5,2,3,4,3,5
kedungpani,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,2,1,1,0,2,3,0,2,0,2,0,2,10,0,0,0,3,0,0,1,2,0,5,2,2
kembangarum,6,1,2,6,0,2,3,2,1,2,1,2,0,0,4,2,3,6,3,4,3,6,5,2,13,6,3,3,3,5,3,5,7,7,8,3,6,7,2,1
kembangsari,1,0,1,0,0,1,2,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,0,1,1,1,0,0,1,3,0,1,1,0
kemijen,7,3,3,3,2,2,2,1,0,3,4,1,6,3,0,1,0,1,2,0,1,3,7,1,6,0,3,5,3,1,0,6,3,16,6,7,1,0,6,3
kramas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,1,0,0,1,2,0,0,0,1,1,0,0,0,1,1,0
kranggan,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,2,0,0,0,0,2,2,1,1,1,1
krapyak,1,3,1,0,0,0,0,1,3,0,0,0,1,0,2,0,0,0,1,1,2,1,1,1,3,1,0,0,1,0,0,2,2,3,1,0,1,1,2,0
krobokan,2,3,1,1,0,2,3,2,2,0,1,3,1,3,4,1,2,1,0,0,1,2,2,6,4,1,1,2,3,6,5,4,4,7,6,3,6,11,4,9
kudu,2,1,0,0,1,0,0,1,4,3,1,0,0,29,1,4,0,0,1,0,4,1,2,3,2,2,3,6,1,1,2,5,3,4,5,3,1,0,2,1
kuningan,5,4,0,6,2,2,4,0,4,0,3,2,2,0,4,6,2,2,2,1,3,3,2,4,2,2,4,4,3,5,2,7,4,4,6,5,8,4,7,3
lamper kidul,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,1,1,0,1,1,0,0,1,0,1,0,2,1,2,1,3,1,1,1,1,0
lamper lor,0,1,3,0,0,1,0,0,1,2,0,0,1,0,1,2,1,1,0,0,1,1,0,0,1,2,1,1,0,3,1,2,1,1,4,2,0,3,2,0
lamper tengah,0,2,1,3,0,0,1,1,0,4,1,0,2,1,3,0,0,2,0,1,0,2,2,0,3,3,2,3,4,1,1,4,4,5,4,6,5,2,5,0
lempongsari,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,2,2,0,0,0,1,0,0,1,5,0,1,1,0,1,1,1,1,1,6,4,2,1,2,2
mangkang kulon,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,1,0,0,1,3,2,1,1,1,1,2,1,0,1,0,0,0,0,1,3,1
mangkang wetan,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,1,1,1,0,6,3,0,3,1,0,1,1,1,1,3,3,1,0,2,1,0
mangunharjo,0,0,3,1,1,1,3,0,1,0,1,1,1,4,2,0,1,0,2,0,1,3,1,3,5,3,4,2,3,2,4,4,10,3,6,2,5,6,3,1
mangunsari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,4,0,2,0,0,0,0
manyaran,3,1,1,2,0,2,0,2,1,1,4,2,1,2,1,4,4,3,2,0,1,1,1,4,8,3,3,2,2,7,8,4,7,4,6,9,4,3,1,4
meteseh,3,0,1,1,0,1,1,0,1,2,2,0,3,1,1,0,1,3,1,4,3,4,1,2,2,1,1,1,5,4,3,6,12,6,10,11,5,4,5,1
mijen,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,3,3,0,1,2,4,3,2,2,2,2,1,1,1,2,3
miroto,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1,1,2,3,1,2,1,2,2,1,3,0,2,0,2,1,1
