kelurahan,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
mlatibaru,3,1,1,0,0,0,0,1,2,2,2,1,8,3,2,3,2,1,1,1,2,2,2,3,1,1,0,1,0,1,3,0,0,4,1,1,1,1,1,1
mlatiharjo,1,2,1,0,0,1,1,0,1,1,2,0,2,4,0,0,2,0,0,3,0,1,0,1,2,2,0,1,2,1,2,1,4,1,1,1,1,2,0,1
mugassari,0,0,1,2,0,2,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,1,2,1,4,3,4,1,0,3,1,4,3,3,1,6,2,0,1,0
muktiharjo kidul,10,6,6,3,4,1,5,3,7,4,3,4,7,6,5,4,7,1,1,6,10,4,7,5,8,9,5,7,8,3,9,5,18,8,10,13,4,7,13,2
muktiharjo lor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,1,0,2,1,1,1,1,1,1,0
nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0
ngadirgo,0,1,1,0,2,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,2,1,0
ngaliyan,4,4,6,0,3,2,2,1,1,0,2,2,0,1,2,3,0,2,2,3,0,2,2,4,4,3,6,5,2,5,7,3,3,2,4,3,4,1,0,0
ngemplaksimongan,0,0,1,2,1,0,1,1,3,2,0,4,0,1,0,1,3,1,0,0,2,0,2,1,5,1,2,4,1,3,4,0,4,6,3,4,3,6,4,2
ngesrep,1,1,2,0,0,0,1,1,0,0,0,0,1,1,3,1,2,2,0,1,1,0,3,1,1,0,2,2,1,1,5,5,5,3,6,4,2,2,3,1
ngijo,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,3,1,3,0,0,0,0
nongkosawit,1,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0
padangsari,0,0,0,3,1,5,0,3,0,0,0,0,1,0,2,3,0,2,0,1,0,0,4,1,1,0,2,2,1,3,4,2,2,6,3,3,0,1,1,0
pakintelan,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,4,2,1,1,2,1,0,0,0,1
palebon,1,1,3,3,0,0,1,1,0,1,1,3,1,1,0,1,2,0,1,2,0,2,2,0,3,3,2,1,1,3,0,1,11,1,2,3,1,2,7,2
pandansari,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,2,1,1,0,1,1,0,0,2,1
pandean lamper,0,3,0,1,1,3,0,1,2,3,2,0,2,0,3,3,1,0,3,2,4,2,1,3,3,1,2,3,2,2,3,5,3,1,2,1,1,1,6,0
panggung kidul,1,1,3,0,1,1,1,1,0,0,1,1,1,0,1,2,2,0,0,1,2,1,2,3,4,1,2,1,2,0,2,0,2,1,3,1,1,3,0,0
panggung lor,3,3,1,1,0,0,0,0,1,0,1,2,0,1,2,2,3,0,1,0,0,1,2,0,4,0,2,2,2,2,2,2,0,4,4,2,1,7,4,2
patemon,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,3,4,0,2,0,5,0,0
pedalangan,0,2,3,0,1,2,2,0,2,2,0,0,3,0,0,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,1,5,2,5,8,3
pedurungan kidul,4,3,1,1,1,2,1,2,2,1,1,0,2,0,1,1,1,3,2,2,3,2,4,3,2,1,5,3,1,4,4,3,1,8,3,2,3,2,6,0
pedurungan lor,3,2,0,0,1,0,1,0,1,0,1,0,0,0,2,1,1,0,1,1,1,0,1,4,4,0,0,2,1,3,5,2,1,2,2,2,1,1,4,2
pedurungan tengah,1,4,4,2,0,1,3,0,0,0,2,2,0,2,0,4,1,2,0,4,1,3,0,5,5,1,3,4,4,6,5,5,5,4,7,5,5,3,2,1
pekunden,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0
pendrikan kidul,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,2,1,0,0,0,0,0,0
pendrikan lor,0,1,3,0,2,0,0,0,4,2,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,2,1,0,2,0,2,3,4,2,1,3,2,2
penggaron kidul,2,1,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,2,0,4,3,0,2,3,2,4,1,0
penggaron lor,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,0,1,0,2,0,0,0,1,0,0,1,0,2,1,2,0,2
pesantren,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0
peterongan,2,0,0,0,2,2,1,1,1,0,0,1,0,3,1,2,1,0,0,0,1,1,0,2,2,2,1,0,0,2,1,2,2,1,0,1,2,2,2,1
petompon,1,0,2,0,1,1,0,0,0,0,2,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,2,7,4,1,2,1,2,0,1,0,1,3
plalangan,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0
plamongan sari,1,3,0,1,2,0,1,0,0,4,0,2,0,0,0,3,2,0,2,1,2,1,3,0,5,1,1,1,1,2,4,1,2,1,1,4,4,2,2,0
pleburan,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1
plombokan,1,2,2,0,0,1,1,1,0,2,0,1,1,3,4,1,2,1,0,1,0,1,2,0,4,1,2,2,1,3,3,6,2,2,5,3,2,5,2,1
podorejo,0,1,1,0,0,0,0,0,2,1,0,0,1,1,0,2,0,0,0,1,1,0,0,2,1,1,0,2,0,0,3,0,0,3,1,4,4,0,1,1
polaman,0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
pudakpayung,1,2,1,1,0,0,0,2,1,0,3,1,3,0,7,0,0,0,2,0,3,1,1,1,5,2,2,3,1,1,1,2,2,7,6,6,3,4,4,2
pungangan,1,2,1,0,0,0,0,1,0,3,1,0,1,1,0,0,0,0,0,3,1,1,0,1,1,1,1,0,0,2,1,1,0,3,2,1,2,1,1,0
purwodinatan,3,2,0,0,0,1,0,1,2,1,2,1,0,0,0,0,1,1,0,2,0,0,2,0,2,4,1,1,1,1,2,0,2,2,3,1,1,2,0,0
purwosari,2,2,2,1,2,3,3,1,1,2,1,3,1,4,0,1,1,2,1,1,2,2,3,6,1,5,2,3,1,5,5,2,6,1,8,3,5,2,1,0
purwoyoso,0,5,3,2,1,0,0,2,2,0,2,1,1,1,1,3,1,3,1,1,2,2,2,2,5,6,5,0,4,2,5,4,5,5,4,6,3,3,5,1
randu garut,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,2,0,0,1,1,2,3,3,0,0,0
randusari,1,0,1,0,1,1,0,0,1,0,0,1,2,2,3,3,2,1,0,1,3,1,1,1,5,1,3,4,0,1,1,3,0,0,5,3,2,5,3,1
rejomulyo,0,2,1,1,0,0,1,0,0,1,0,0,2,4,0,1,2,0,1,0,0,4,1,1,1,1,0,1,0,0,1,1,2,5,1,1,1,0,1,3
rejosari,4,3,2,3,0,0,1,1,0,2,0,0,1,4,5,1,1,0,0,2,2,5,2,3,6,1,4,2,4,6,2,4,3,4,3,5,2,2,5,1
rowosari,4,0,0,1,1,2,0,0,0,0,1,0,2,0,2,2,2,0,2,1,3,1,4,1,0,1,0,5,4,1,2,5,3,4,1,3,4,2,4,1
sadeng,2,0,1,1,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,3,0,2,1,1,1,1,2,1,0,0,1,5,2,3,1,1,2,1,2
salamanmloyo,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,2,2,5,1,0,1,1,0
sambirejo,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,1,0,1,0,2,0,1,2,0,2,3,3,1,3,3,3,3,3,4,2,2,4,2
sambiroto,3,7,3,1,2,1,1,0,1,2,1,0,1,0,3,4,4,1,0,2,2,0,5,3,1,0,5,1,1,4,3,8,6,5,5,2,3,5,4,1
sampangan,1,2,3,2,1,0,0,0,0,1,2,0,1,2,1,0,1,1,1,1,0,0,3,0,2,4,1,1,2,2,1,4,4,4,5,1,2,4,2,1
sarirejo,1,1,0,1,1,1,0,2,1,1,1,0,2,2,1,0,0,1,0,1,2,2,0,3,2,1,0,2,3,5,0,3,0,2,1,1,0,3,6,2
sawahbesar,1,3,0,2,0,2,1,0,3,2,1,0,1,0,1,3,2,2,0,3,1,2,2,2,5,4,1,1,3,3,4,3,5,1,5,3,6,3,2,0
sekaran,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,2,0,1,0,2,0,2,1,2,2,3,6,5,2,4,2,1,3,1,4,3
sekayu,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,2,4,1,2,2,0,0
sembungharjo,2,2,2,3,1,5,2,0,1,1,1,0,0,1,0,1,0,2,3,4,1,3,1,3,5,1,0,4,2,0,1,2,1,2,7,6,8,1,5,2
sendangguwo,1,5,1,1,4,3,2,3,2,1,1,2,2,1,2,8,5,5,3,10,4,1,3,3,4,4,4,3,3,3,4,12,10,4,13,5,4,7,12,1
sendangmulyo,3,9,3,2,4,4,4,3,2,3,4,2,3,4,5,6,5,4,7,2,2,5,7,6,7,1,4,5,7,7,18,7,10,9,10,10,16,6,7,3
siwalan,3,2,1,1,0,0,1,0,0,0,1,0,0,0,3,2,0,0,2,1,1,0,1,0,3,0,1,0,4,7,2,2,4,4,2,2,0,2,0,1
srondol kulon,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,2,2,0,3,0,1,0,11,0,3,1,0,2,5,3,1,3,3,4,1,1,2,0,2,2
srondol wetan,3,6,5,1,1,0,2,0,1,1,0,0,0,0,3,1,1,1,1,4,2,0,4,2,1,2,0,3,2,5,3,5,3,6,6,4,2,3,1,1
sukorejo,4,1,0,0,1,1,1,1,0,3,1,2,1,0,1,1,4,1,1,1,4,3,0,4,4,3,3,3,5,5,3,4,9,6,14,9,4,4,4,3
sumurboto,3,1,1,1,1,0,1,0,2,0,2,0,1,1,1,0,0,1,0,0,1,1,1,2,2,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0
sumurejo,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0
tambak harjo,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,1,1,1,0,1,2,2,0,1,0,1,0,2,0,0,2
tambakaji,4,2,3,3,3,2,3,0,1,3,0,4,4,2,4,5,1,3,2,2,4,5,1,12,5,5,5,8,9,2,3,6,5,14,5,6,7,6,8,5
tambakrejo,0,0,0,5,0,0,0,1,1,1,1,0,1,4,1,3,1,0,0,0,0,3,0,0,3,1,1,4,3,7,2,5,3,2,4,4,3,1,2,3
tambangan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,0,1,0,0,1,1,0,1,2,1,0,1,0
tandang,5,2,3,2,1,1,0,2,0,0,2,1,2,3,3,3,1,2,2,2,9,5,6,4,7,4,5,6,5,5,7,4,7,12,9,8,7,3,5,4
tanjungmas,5,6,8,8,2,5,5,2,3,2,2,5,5,3,9,6,3,5,2,2,8,8,10,7,8,7,3,2,12,7,7,8,5,9,14,13,9,5,9,6
tawangmas,0,1,2,0,0,1,1,0,0,0,1,0,1,2,2,0,0,0,0,0,0,1,0,1,6,0,0,3,1,3,5,4,6,1,2,3,3,0,0,1
tawangsari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0
tegalsari,1,3,2,1,0,3,1,2,1,4,2,1,1,2,3,2,3,0,4,2,2,1,1,5,5,5,1,4,6,1,6,9,5,4,3,4,4,4,4,1
tembalang,1,5,1,0,0,1,0,1,2,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,3,2,4,3,2,3,0,1,1,2,0,5,0,1,1,2
terboyo kulon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
terboyo wetan,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
tinjomoyo,0,0,4,0,0,1,0,0,0,2,0,0,0,0,2,3,1,2,1,1,0,0,0,6,2,0,4,0,2,2,1,3,3,3,2,5,3,0,4,0
tlogomulyo,5,1,3,4,3,0,1,1,2,0,1,4,2,1,2,5,4,1,2,1,2,1,2,3,4,2,0,3,5,2,4,3,3,5,6,6,4,2,4,2
tlogosari kulon,9,2,3,6,4,4,6,3,6,6,6,3,3,3,3,3,6,6,0,16,7,7,6,5,6,4,6,5,1,8,11,11,9,11,11,5,1,2,8,3
tlogosari wetan,3,3,4,1,0,4,2,0,0,0,0,0,1,2,2,1,0,2,1,0,2,1,3,1,4,0,1,0,1,2,3,7,4,1,3,3,2,1,1,2
trimulyo,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,4,0,0,0,0,1,1,1,0,0,0,0,2,1,2,1,0,1,0
tugurejo,1,0,0,1,0,2,0,1,2,1,0,0,0,2,2,1,1,0,1,2,0,0,0,1,4,6,4,3,0,1,2,3,4,3,6,6,0,1,4,3
wates,1,1,3,0,1,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,2,0,0,2,1,2,0,8,0,6,1,3,1,0,0,0,2,1,1,0
wonodri,2,3,1,0,0,0,1,0,2,1,3,0,1,0,0,4,1,0,3,1,2,0,3,1,2,2,1,1,3,3,4,4,5,6,2,3,1,4,4,0
wonolopo,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,1,0,3,2,4,2,1,4,2,0,0,2,5,3,5,4,0,1
wonoplumbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,3,0,0,0
wonosari,5,3,1,0,1,2,0,1,1,3,1,2,1,1,2,1,4,3,4,1,6,1,3,5,8,3,2,2,5,3,3,8,8,5,5,8,4,5,3,2
wonotingal,2,2,3,1,1,1,0,3,0,0,1,0,2,1,2,0,2,1,0,1,0,2,1,2,2,3,1,2,6,0,6,2,1,3,5,0,1,2,2,1
