id,nama_kelurahan,puskesmas_id,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
85,padangsari,3,0,0,0,3,1,5,0,3,0,0,0,0,1,0,2,3,0,2,0,1,0,0,4,1,1,0,2,2,1,3,4,2,2,6,3,3,0,1,1,0
86,gedawang,2,0,3,1,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,1,1,0,0,2,1,3,3,0,0,0,3,0,4,1,3,3,2,4,1
87,pungangan,11,1,2,1,0,0,0,0,1,0,3,1,0,1,1,0,0,0,0,0,3,1,1,0,1,1,1,1,0,0,2,1,1,0,3,2,1,2,1,1,0
88,kandri,11,1,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1
89,kalisegoro,12,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,2,0,0
90,ngijo,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,3,1,3,0,0,0,0
91,cepoko,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,1,1,0,1
92,nongkosawit,11,1,1,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0
93,gunungpati,11,3,0,0,0,2,0,0,0,0,2,0,2,0,2,0,2,0,0,1,0,2,1,1,3,2,0,3,1,3,0,1,1,1,3,2,2,3,1,0,1
94,plalangan,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0
95,sekaran,12,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,2,0,1,0,2,0,2,1,2,2,3,6,5,2,4,2,1,3,1,4,3
96,sadeng,11,2,0,1,1,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,3,0,2,1,1,1,1,2,1,0,0,1,5,2,3,1,1,2,1,2
97,patemon,12,0,0,0,0,1,0,0,0,2,0,0,0,2,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,3,4,0,2,0,5,0,0
98,mangunsari,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,4,0,2,0,0,0,0
99,pakintelan,11,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,4,2,1,1,2,1,0,0,0,1
100,wonoplumbon,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,3,0,0,0
101,wonolopo,14,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,1,0,3,2,4,2,1,4,2,0,0,2,5,3,5,4,0,1
102,ngadirgo,14,0,1,1,0,2,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,2,1,0
103,mijen,14,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,3,3,0,1,2,4,3,2,2,2,2,1,1,1,2,3
105,jatibarang,14,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,3,0,0,0,0,0
106,pesantren,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0
107,jatisari,14,1,3,1,0,0,2,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,3,2,2,2,0,0,1,1,6,3,3,1,4,3,3,4,1,2,2
108,tambangan,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,0,1,0,0,1,1,0,1,2,1,0,1,0
109,cangkiran,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,1,0,0,1,1,1,2,2,0,1,0,0,3,1,2,0,1
110,bubakan,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,3,0,1,0,4,0
111,polaman,13,0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
112,gondoriyo,16,1,0,2,1,0,1,0,0,1,0,0,0,0,0,2,0,1,1,1,0,1,0,0,1,0,0,1,2,1,0,0,0,1,2,3,3,2,2,3,1
113,podorejo,16,0,1,1,0,0,0,0,0,2,1,0,0,1,1,0,2,0,0,0,1,1,0,0,2,1,1,0,2,0,0,3,0,0,3,1,4,4,0,1,1
114,wates,16,1,1,3,0,1,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,2,0,0,2,1,2,0,8,0,6,1,3,1,0,0,0,2,1,1,0
115,tambakaji,18,4,2,3,3,3,2,3,0,1,3,0,4,4,2,4,5,1,3,2,2,4,5,1,12,5,5,5,8,9,2,3,6,5,14,5,6,7,6,8,5
116,bringin,16,4,2,0,2,0,1,0,0,0,0,0,1,2,0,1,3,2,1,3,0,4,2,2,3,0,2,2,1,2,3,5,5,6,4,6,6,4,7,3,2
117,ngaliyan,16,4,4,6,0,3,2,2,1,1,0,2,2,0,1,2,3,0,2,2,3,0,2,2,4,4,3,6,5,2,5,7,3,3,2,4,3,4,1,0,0
118,sambirejo,8,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,1,0,1,0,2,0,1,2,0,2,3,3,1,3,3,3,3,3,4,2,2,4,2
119,tandang,35,5,2,3,2,1,1,0,2,0,0,2,1,2,3,3,3,1,2,2,2,9,5,6,4,7,4,5,6,5,5,7,4,7,12,9,8,7,3,5,4
120,pleburan,26,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1
121,karangturi,31,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,0,2,0,1,3,0,2,2,0,1,4,1
122,sawahbesar,8,1,3,0,2,0,2,1,0,3,2,1,0,1,0,1,3,2,2,0,3,1,2,2,2,5,4,1,1,3,3,4,3,5,1,5,3,6,3,2,0
123,lamper lor,27,0,1,3,0,0,1,0,0,1,2,0,0,1,0,1,2,1,1,0,0,1,1,0,0,1,2,1,1,0,3,1,2,1,1,4,2,0,3,2,0
124,penggaron lor,9,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,0,1,0,2,0,0,0,1,0,0,1,0,2,1,2,0,2
125,peterongan,27,2,0,0,0,2,2,1,1,1,0,0,1,0,3,1,2,1,0,0,0,1,1,0,2,2,2,1,0,0,2,1,2,2,1,0,1,2,2,2,1
126,pudakpayung,2,1,2,1,1,0,0,0,2,1,0,3,1,3,0,7,0,0,0,2,0,3,1,1,1,5,2,2,3,1,1,1,2,2,7,6,6,3,4,4,2
127,tinjomoyo,4,0,0,4,0,0,1,0,0,0,2,0,0,0,0,2,3,1,2,1,1,0,0,0,6,2,0,4,0,2,2,1,3,3,3,2,5,3,0,4,0
128,kedungpani,14,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,2,1,1,0,2,3,0,2,0,2,0,2,10,0,0,0,3,0,0,1,2,0,5,2,2
129,jatirejo,11,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
130,wonosari,18,5,3,1,0,1,2,0,1,1,3,1,2,1,1,2,1,4,3,4,1,6,1,3,5,8,3,2,2,5,3,3,8,8,5,5,8,4,5,3,2
131,tambakrejo,8,0,0,0,5,0,0,0,1,1,1,1,0,1,4,1,3,1,0,0,0,0,3,0,0,3,1,1,4,3,7,2,5,3,2,4,4,3,1,2,3
132,karanganyar,37,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,4,2,1,2,1,0,1,2,1,0,0,0,1,0,0,1,2,2,0
133,karangmalang,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3,1,0,1,1,0,1,2,0,2,1
134,purwoyoso,17,0,5,3,2,1,0,0,2,2,0,2,1,1,1,1,3,1,3,1,1,2,2,2,2,5,6,5,0,4,2,5,4,5,5,4,6,3,3,5,1
135,kalipancur,17,2,2,1,0,0,1,0,1,1,0,0,4,1,3,1,1,1,2,1,2,3,4,0,4,4,2,4,4,4,7,5,6,1,7,12,3,5,4,6,0
136,karang rejo,7,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,2,0,2,0,1,1,2,5,1,3,4,1,2,3,1,0
137,kaligawe,8,0,2,1,1,1,1,0,1,1,0,2,1,2,3,0,2,2,0,0,0,3,2,2,2,2,1,1,0,3,1,6,4,3,4,4,3,3,1,5,1
138,pendrikan lor,28,0,1,3,0,2,0,0,0,4,2,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,2,1,0,2,0,2,3,4,2,1,3,2,2
139,karangtempel,31,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,1,1,0,0,3,2,2,2,0,3,2,0,1,0,0,0
140,jangli,35,3,1,0,4,0,0,0,0,0,2,0,0,2,2,2,2,1,0,0,0,2,0,0,0,1,1,3,1,1,2,1,0,2,4,2,2,1,1,3,0
141,pandean lamper,8,0,3,0,1,1,3,0,1,2,3,2,0,2,0,3,3,1,0,3,2,4,2,1,3,3,1,2,3,2,2,3,5,3,1,2,1,1,1,6,0
142,randusari,26,1,0,1,0,1,1,0,0,1,0,0,1,2,2,3,3,2,1,0,1,3,1,1,1,5,1,3,4,0,1,1,3,0,0,5,3,2,5,3,1
143,bulu lor,15,6,2,1,1,2,4,0,3,1,2,1,3,1,4,3,0,2,2,0,0,2,5,1,1,4,2,2,6,3,3,8,4,3,3,6,4,5,2,2,1
144,jerakah,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
145,sukorejo,12,4,1,0,0,1,1,1,1,0,3,1,2,1,0,1,1,4,1,1,1,4,3,0,4,4,3,3,3,5,5,3,4,9,6,14,9,4,4,4,3
146,barusari,26,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,3,0,0,1,2,1,0,0,2,2,1,1,1,3,1,3,2,0,2,1
147,jomblang,6,4,3,1,2,2,2,0,1,3,5,3,0,1,1,0,2,5,2,2,2,5,6,2,5,4,3,1,4,4,7,6,7,7,4,4,9,8,2,5,4
148,gayamsari,8,2,0,1,1,1,0,3,2,2,2,0,1,0,1,1,0,3,0,0,2,1,1,1,1,2,0,1,2,1,7,2,4,8,2,4,2,2,2,0,1
149,lamper tengah,27,0,2,1,3,0,0,1,1,0,4,1,0,2,1,3,0,0,2,0,1,0,2,2,0,3,3,2,3,4,1,1,4,4,5,4,6,5,2,5,0
150,tegalsari,5,1,3,2,1,0,3,1,2,1,4,2,1,1,2,3,2,3,0,4,2,2,1,1,5,5,5,1,4,6,1,6,9,5,4,3,4,4,4,4,1
151,mangkang wetan,36,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,1,1,1,0,6,3,0,3,1,0,1,1,1,1,3,3,1,0,2,1,0
152,randu garut,37,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,2,0,0,1,1,2,3,3,0,0,0
153,tugurejo,37,1,0,0,1,0,2,0,1,2,1,0,0,0,2,2,1,1,0,1,2,0,0,0,1,4,6,4,3,0,1,2,3,4,3,6,6,0,1,4,3
154,mangkang kulon,36,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,1,0,0,1,3,2,1,1,1,1,2,1,0,1,0,0,0,0,1,3,1
156,bambankerep,16,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,3,2,0,1,2,1,2,2,3,0,0,0,2,0,2,3,0
157,kramas,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,1,0,0,1,2,0,0,0,1,1,0,0,0,1,1,0
158,jabungan,3,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1
159,rowosari,34,4,0,0,1,1,2,0,0,0,0,1,0,2,0,2,2,2,0,2,1,3,1,4,1,0,1,0,5,4,1,2,5,3,4,1,3,4,2,4,1
160,plamongan sari,20,1,3,0,1,2,0,1,0,0,4,0,2,0,0,0,3,2,0,2,1,2,1,3,0,5,1,1,1,1,2,4,1,2,1,1,4,4,2,2,0
161,ngesrep,4,1,1,2,0,0,0,1,1,0,0,0,0,1,1,3,1,2,2,0,1,1,0,3,1,1,0,2,2,1,1,5,5,5,3,6,4,2,2,3,1
162,jatingaleh,6,5,2,1,0,0,1,1,1,3,1,1,1,3,0,1,3,0,1,0,0,4,1,0,3,6,2,1,2,1,3,3,5,2,4,2,1,3,1,1,0
163,kaliwiru,5,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,2,1,1,2,0,0
164,wonotingal,5,2,2,3,1,1,1,0,3,0,0,1,0,2,1,2,0,2,1,0,1,0,2,1,2,2,3,1,2,6,0,6,2,1,3,5,0,1,2,2,1
165,lempongsari,7,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,2,2,0,0,0,1,0,0,1,5,0,1,1,0,1,1,1,1,1,6,4,2,1,2,2
166,candi,5,4,1,0,2,2,2,4,2,1,2,2,1,3,1,2,3,0,2,0,0,5,2,2,5,7,1,4,3,3,6,3,6,4,4,4,7,0,7,2,4
167,lamper kidul,27,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,1,1,0,1,1,0,0,1,0,1,0,2,1,2,1,3,1,1,1,1,0
168,kedungmundu,35,4,2,1,0,3,2,1,0,0,0,0,0,2,1,0,1,4,1,0,2,1,2,1,4,7,1,2,1,3,3,5,2,4,2,5,2,3,4,3,5
169,sendangguwo,35,1,5,1,1,4,3,2,3,2,1,1,2,2,1,2,8,5,5,3,10,4,1,3,3,4,4,4,3,3,3,4,12,10,4,13,5,4,7,12,1
170,mugassari,26,0,0,1,2,0,2,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,1,2,1,4,3,4,1,0,3,1,4,3,3,1,6,2,0,1,0
171,siwalan,8,3,2,1,1,0,0,1,0,0,0,1,0,0,0,3,2,0,0,2,1,1,0,1,0,3,0,1,0,4,7,2,2,4,4,2,2,0,2,0,1
172,muktiharjo kidul,19,10,6,6,3,4,1,5,3,7,4,3,4,7,6,5,4,7,1,1,6,10,4,7,5,8,9,5,7,8,3,9,5,18,8,10,13,4,7,13,2
173,kudu,9,2,1,0,0,1,0,0,1,4,3,1,0,0,29,1,4,0,0,1,0,4,1,2,3,2,2,3,6,1,1,2,5,3,4,5,3,1,0,2,1
174,karangroto,9,3,4,3,0,1,1,0,2,2,1,2,0,1,3,10,3,2,2,0,0,1,2,2,4,5,4,1,8,4,5,6,7,4,5,9,7,3,4,6,7
175,tanjungmas,33,5,6,8,8,2,5,5,2,3,2,2,5,5,3,9,6,3,5,2,2,8,8,10,7,8,7,3,2,12,7,7,8,5,9,14,13,9,5,9,6
176,dadapsari,33,2,0,2,0,2,0,1,0,2,1,2,0,0,1,1,0,1,0,0,0,0,1,3,0,10,2,8,5,2,2,1,1,3,5,4,1,4,3,4,1
177,sumurejo,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0
